Program,Safe Testcase Num,Average Time Cost (ms),Safety Status
TemperatureAnalyzer,1,461.000,unsafe
FlowCalculator_S,3,456.667,safe
DivisionCalculator,4,466.250,unsafe
FuelEfficiencyAnalyzer,4,462.750,unsafe
FlowCalculator,4,458.000,unsafe
DensityEvaluator,3,460.333,unsafe
FuelEfficiencyAnalyzer_S,3,457.000,safe
HeatPredictor,4,455.000,unsafe
RiskScoreCalculator,3,466.333,unsafe
VoltageCalculator,2,469.500,unsafe
HeatPredictor_S,4,456.250,safe
PressureEvaluator,3,468.333,unsafe
SpeedEstimator,5,473.800,unsafe
RiskScoreCalculator_S,3,451.000,safe
SensorCalibrator,4,539.250,unsafe
MemoryAllocator,4,501.750,unsafe
RenderEngine,5,514.400,safe
TrafficController,4,477.250,safe
ProductionScheduler,4,466.000,safe
DataCompressor,4,472.250,unsafe
CompressionRatio,5,483.800,unsafe
PerformanceRater,6,635.167,safe
StudentGrader,9,479.111,unsafe
PaymentProcessor,4,484.500,unsafe
ShippingCalculator,3,472.000,unsafe
SpeedCalculator,4,461.500,unsafe
AreaCalculator,3,475.000,unsafe
SpeedCalculator_S,4,470.000,safe
TaxCalculator,4,459.750,unsafe
EnergyMonitor,1,459.000,unsafe
ScoreCalculator,4,469.500,unsafe
ResourceAllocator,4,477.500,unsafe
TemperatureConverter,2,516.500,unsafe
